DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Indi,LDP,Liberal Democrats,FIDGE,Julian
Casey,CYA,Australian Federation Party,FIELD,Chris
Hindmarsh,LP,Liberal,FINIZIO,Anna
Wentworth,ON,Pauline Hanson's One Nation,FISHER,Dean
Indi,NP,The Nationals,FISHER,Liz
Gorton,LP,Liberal,FLETCHER,John
Bradfield,LP,Liberal,FLETCHER,Paul
Bradfield,UAPP,United Australia Party,FLETCHER,Rob
Moreton,UAPP,United Australia Party,FOLLETT,Chelsea
Fadden,LDP,Liberal Democrats,FORBES,Alex
Higgins,LDP,Liberal Democrats,FORD,Matthew
McMahon,ON,Pauline Hanson's One Nation,FORD,Scott
Gippsland,UAPP,United Australia Party,FORSTER,Gregory Emil
Tangney,CYA,Australian Federation Party,FOWLER,Brent
Parkes,IMO,Informed Medical Options Party,FOX,Benjamin
Parkes,GRN,The Greens,FRAIL,Trish
Dickson,ALP,Australian Labor Party,FRANCE,Ali
Farrer,ON,Pauline Hanson's One Nation,FRANCIS,Richard
Macarthur,ALP,Labor,FREELANDER,Mike
Parramatta,ON,Pauline Hanson's One Nation,FREEMAN,Heather
Moore,ALP,Australian Labor Party,FRENCH,Tom
Lilley,LDP,Liberal Democrats,FRESHWATER,Daniel
Barker,IND,Independent,FRY,Maddy
Kooyong,LP,Liberal,FRYDENBERG,Josh
Sturt,AUP,Australian Progressives,FULCO,Angela
Lalor,LP,Liberal,GADDIPATI,Ravi
Adelaide,GRN,The Greens,GALDIES,Rebecca
Lingiari,ON,Pauline Hanson's One Nation,GALLARD,Tim
Goldstein,GVIC,The Greens,GALLI-McROSTIE,Alana
Clark,UAPP,United Australia Party,GALLOWAY,Sandra
Casey,GVIC,The Greens,GAME,Jenny
Capricornia,IMO,Informed Medical Options Party,GANFIELD,Paula
Canning,LDP,Liberal Democrats,GARDINER,David
Canning,CYA,Australian Federation Party,GARDYNE,Anthony
Chisholm,ALP,Australian Labor Party,GARLAND,Carina
Braddon,IND,Independent,GARLAND,Craig Anthony
Burt,GRN,The Greens (WA),GARLETT,Daniel
Cunningham,CEC,Citizens Party,GARNAUT-MILLER,Alexis
Wannon,IND,Independent,GARNER,Graham
Eden-Monaro,UAPP,United Australia Party,GARNON,Darren Scott
Moreton,GRN,Queensland Greens,GARTON,Claire
Fremantle,CYA,Australian Federation Party,GAVRANICH,Cathy
Calare,NP,The Nationals,GEE,Andrew
