DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Gilmore,IND,Independent,DIGIGLIO,Nina
Bonner,UAPP,United Australia Party,DIKLICH,Serge
Whitlam,GRN,The Greens,DIXON,Jamie
Gorton,GAP,The Great Australian Party,DOBRAN,Tony
Deakin,AJP,Animal Justice Party,DOLHEGUY,Katherine
Hume,UAPP,United Australia Party,DOLLIN,Garry Trevor
Herbert,UAPP,United Australia Party,DOWLING,Greg Ian
Aston,ALP,Australian Labor Party,DOYLE,Mary
Isaacs,ALP,Australian Labor Party,DREYFUS,Mark
Makin,UAPP,United Australia Party,DROZDOFF,Kimberley
Canning,AUC,Australian Christians,du PLESSIS,Andriette
Bowman,ALP,Australian Labor Party,DUFF,Donisha
Wright,UAPP,United Australia Party,DUFFILL,Cassandra Deanne
Wentworth,UAPP,United Australia Party,DUMER,Natalie
New England,UAPP,United Australia Party,DUNCAN,Cindy Anne
Farrer,IND,Independent,DUNCAN-STRELEC,Amanda
Forrest,CYA,Australian Federation Party,DUNN,Mailee
Page,IAP,Indigenous - Aboriginal Party of Australia,DUROUX,Brett Rodney
Dickson,LNP,Liberal National Party of Queensland,DUTTON,Peter
Perth,LP,Liberal,DWYER,David
Boothby,IND,Independent,DYER,Jo
Wannon,IND,Independent,DYSON,Alex
Cook,GRN,The Greens,DYSON,Catherine
Flinders,CYA,Australian Federation Party,EARL,Jefferson
Cook,ALP,Labor,EARLE,Simon
Perth,UAPP,United Australia Party,EBERHART,Sonya Michelle
Fremantle,ON,Pauline Hanson's One Nation,EDGAR,William
Monash,LDP,Liberal Democrats,EDWARDS,Meg
Herbert,IND,Independent,EGAN,Angela
Gilmore,ON,Pauline Hanson's One Nation,EID,Jerremy
Blaxland,GRN,The Greens,EISLER,Linda
Sturt,DPDA,Drew Pavlou Democratic Alliance,ELHAM,Inty
Richmond,ALP,Labor,ELLIOT,Justine
Mayo,GRN,The Greens,ELLIOTT,Greg
Calare,ALP,Labor,ELLIOTT,Sarah
Fenner,UAPP,United Australia Party,ELTON,Timothy Peter
Flinders,AJP,Animal Justice Party,ENGELANDER,Pamela
Forrest,ALP,Australian Labor Party,ENGLISH,Bronwen
Kingston,CYA,Australian Federation Party,ENRIGHT,Sam
Leichhardt,LNP,Liberal National Party of Queensland,ENTSCH,Warren
La Trobe,ON,Pauline Hanson's One Nation,ERVIN,Hadden
Fairfax,GRN,Queensland Greens,ETHERIDGE,Sue
Lyons,UAPP,United Australia Party,EVANS,Jason
Macquarie,UAPP,United Australia Party,EVANS,Nicole
Brisbane,LNP,Liberal National Party of Queensland,EVANS,Trevor
Gilmore,LDP,Liberal Democrats,FADINI,Adrian
Cowper,UAPP,United Australia Party,FAIRHALL,Joshua Stephen
Leichhardt,ALP,Australian Labor Party,FAITH,Elida
Mackellar,LP,Liberal,FALINSKI,Jason
Longman,ALP,Australian Labor Party,FANNING,Rebecca
Parramatta,UAPP,United Australia Party,FAYAD,Julian
Durack,WAP,WESTERN AUSTRALIA PARTY,FELS,Anthony James
Dobell,LP,Liberal,FENELEY,Michael
Sydney,ON,Pauline Hanson's One Nation,FERGUSON,Ben
Fairfax,ALP,Australian Labor Party,FERGUSON,Sue
Holt,ALP,Australian Labor Party,FERNANDO,Cassandra
Casey,IND,Independent,FERRES MILES,Claire
