bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
David Smith MP,election_only,21,2939.5,2557.5,348.5,0.13626588465298142,-4.451080277258874,0.7163851504655014
David Utting,off_campaign,21,2239.5,0.0,2239.5,,21.183570950148308,0.18524727114814188
Day of AI,ongoing,48,2376.0,655.875,1749.0,2.6666666666666665,3.76598872825288,0.7819821687746217
Democratic Labour Party,off_campaign,32,2584.0,0.0,2206.9583333333335,,24.986584638953094,0.04260905141642206
Democrats Abroad,off_campaign,86,5357.0,0.0,5357.0,,18.626950052001384,0.2835788441537928
Democrats Abroad Australia,ongoing,49,2825.5,1290.0,1552.0,1.2031007751937985,-1.563379662209711,0.48193671652063624
Destiny Rescue,ongoing,326,201487.0,54114.5,145425.8333333333,2.6873727620754755,7.647434389085203,0.5362967829119201
Dirty Clean Food,off_campaign,64,17468.0,0.0,17468.0,,19.546648565540256,0.24820582440229796
DocPlay,ongoing,71,16714.5,4442.625,12276.0,2.7632311977715878,6.182999499061675,0.5236114325677611
Donna Frances Reeman Davis,ongoing,34,1683.0,808.5,952.875,1.1785714285714286,-1.3559718969555044,0.44299611395630134
Double It For Nature,election_only,28,3986.0,3302.3749999999995,529.0833333333334,0.16021297803348603,-7.478365970932987,0.6843083185098301
Dr Christian Rowan MP,ongoing,56,2972.0,1612.875,1317.875,0.8170967991939859,-0.05775581579556647,0.6002980428255528
Dr David Honey MLA,election_only,112,17344.0,0.0,17202.666666666668,,12.338138328498351,0.5257635859335209
Dr David Honey MLA ,election_only,82,25109.0,24579.916666666668,2398.25,0.09756949270915619,-7.251025300000089,0.7094662051710654
"Dr Rachel David, CEO, Private Healthcare Australia",election_only,214,16893.0,17099.583333333336,0.0,0.0,-14.824108078378405,0.42984199698544584
Dyson4Wannon Campaign,election_only,31,9434.5,7736.916666666666,0.0,0.0,-1.809586383156819,0.9304005237247377
Edwin Charles Johnstone,off_campaign,20,2090.0,0.0,2090.0,,17.834039644565962,0.31407539828592457
Electoral Commission of South Australia ,election_only,62,61419.0,61423.125,0.0,0.0,-15.332951322719019,0.4102711029723453
"Electrical Trades Union of Australia, Victorian Branch",ongoing,40,118130.0,21074.5,84484.66666666667,4.008857465973887,19.443094427972575,0.21931425972327204
Ellen Sandell MP,ongoing,61,5619.5,2141.75,3593.25,1.6777168203571846,6.539419603935731,0.300123111413434
