hashtag,count_total,election_only,transitional,ongoing,off_campaign,null
housing,16,0,4,3,1,8
sponsored,16,0,0,15,0,1
communitymanager,16,0,0,16,0,0
redtape,16,14,0,0,0,2
tasmaniangram,16,0,0,16,0,0
rockhampton,16,0,0,16,0,0
changethestory,16,0,0,16,0,0
votehimout,16,0,0,16,0,0
2022,16,3,2,0,11,0
communityovercompetition,16,0,0,16,0,0
hughesdeservesbetter,16,0,0,0,0,16
damienforthenationals,16,11,0,0,5,0
politicalnews,16,0,0,16,0,0
democracynow,16,0,0,16,0,0
democracyday,16,0,0,16,0,0
democracyinaction,16,0,0,16,0,0
register,16,0,0,16,0,0
politicalrevolution,16,0,0,16,0,0
aussieaussieaussie,16,0,0,16,0,0
danmustgo,16,0,0,0,5,11
sustainablehousing,16,0,0,16,0,0
entitled,16,16,0,0,0,0
girlboss,16,16,0,0,0,0
startsmall,16,0,0,0,16,0
votelocal,15,0,0,0,15,0
religiousdiscriminationbill,15,5,1,0,0,9
helpherheal,15,0,0,0,0,15
moira4mayor,15,0,0,0,13,2
saveoursuburb,15,0,0,15,0,0
livelocal,15,0,0,0,15,0
qldjobs,15,0,4,7,0,4
dadvsadani,15,15,0,0,0,0
elections,15,0,0,5,3,7
organising,15,0,0,15,0,0
countryliberal,15,0,0,0,15,0
regionalvictoria,15,0,0,14,0,1
ourcommunity,15,0,4,2,5,4
inclusion,15,0,0,4,5,6
eradicatefistulaforever,15,0,0,0,0,15
fightforbetter,15,0,0,0,0,15
integrity,15,2,0,4,0,9
waternight,15,0,0,0,0,15
samsplan,15,15,0,0,0,0
arabicnews,15,15,0,0,0,0
stopthewaiting,15,15,0,0,0,0
givefreedomthischristmas,14,0,0,0,0,14
abovetheline,14,0,0,14,0,0
krgcouncil,14,0,0,0,14,0
teachershortage,14,0,0,0,0,14
vote1jayamalagupte,14,0,0,0,9,5
cruelkoalacuddles,14,0,0,14,0,0
nurse,14,0,10,4,0,0
deliveringfordavenport,14,0,0,0,0,14
texas,14,0,0,14,0,0
caringforthecarers,14,14,0,0,0,0
canberra,14,0,2,7,0,5
elections2022,14,1,3,0,0,10
votereason,14,0,0,0,14,0
dulukdelivers,14,14,0,0,0,0
narracan,14,0,0,14,0,0
stoprethinkhumelink,14,0,0,0,0,14
getmalvernmoving,14,0,0,0,14,0
vicelection,14,0,0,0,5,9
cityofparramatta,14,0,0,11,0,3
naidoc2022,14,0,2,12,0,0
daintreebuyback,14,0,0,14,0,0
caz4cowper,14,13,0,0,0,1
seenandbelieved,14,0,0,1,0,13
thisislabor,14,0,0,7,0,7
localgovernmentelections,14,0,0,0,0,14
restoreourrebates,14,14,0,0,0,0
lifeineverydrop,14,0,0,0,0,14
savethedaintree,14,0,0,14,0,0
thinblueline,14,0,0,14,0,0
axethecap,14,0,0,0,0,14
delivering,14,9,0,0,0,5
youthweek,14,0,0,14,0,0
summer,14,13,0,1,0,0
architecturepodcast,14,0,0,14,0,0
designpodcast,14,0,0,14,0,0
hearingarchitecture,14,0,0,14,0,0
bureaucracy,14,14,0,0,0,0
betterndisforms,14,0,0,0,0,14
protectmedicare,13,13,0,0,0,0
saveearthsskin,13,0,0,0,0,13
howtovote,13,2,0,0,2,9
brisbane,13,1,2,0,0,10
ward5,13,0,0,1,0,12
bayside,13,0,0,0,0,13
delivering4mackay,13,0,0,13,0,0
votenorepublic,13,0,0,0,0,13
queenslandersdeservebetter,13,0,0,13,0,0
vote1carolynpower,13,13,0,0,0,0
sackdanandrews,13,0,0,0,0,13
solarvic,13,0,0,13,0,0
lgtas,13,0,0,0,7,6
northernterritory,13,0,6,5,0,2
homelessness,13,0,0,9,1,3
alwayswasalwayswillbe,13,2,0,3,2,6
candidate,13,0,0,0,5,8
viclabor,13,0,0,12,0,1
beyondneutral,13,0,0,0,0,13
wentworthvotes,13,13,0,0,0,0
vote1dyson4wannon,13,13,0,0,0,0
janelomaxsmith,13,0,0,0,13,0
ivaluenature,13,0,0,13,0,0
volunteer,13,0,1,5,5,2
follow,13,13,0,0,0,0
accountability,12,0,0,2,5,5
budget22,12,5,1,2,0,4
integritymatters,12,0,0,11,0,1
communityindependents,12,0,0,0,12,0
curtinvotes,12,12,0,0,0,0
plantmoretrees,12,12,0,0,0,0
firstnationsaustralia,12,0,0,0,0,12
fairaccessforall,12,0,0,0,0,12
abcaustralia,12,0,0,0,0,12
paulsedrak,12,0,0,0,0,12
hobartcity,12,0,0,2,7,3
connectedleadership,12,0,0,0,12,0
communityindependent,12,0,0,0,12,0
vote1groupd,12,0,0,0,9,3
australiavotes2022,12,8,0,0,0,4
qfccyac,12,0,0,12,0,0
22chapterarchitectureawards,12,0,0,12,0,0
kate4state,12,0,0,0,12,0
womenshealth,12,0,7,1,0,4
councilcandidate,12,0,0,0,1,11
thinkgreat,12,0,0,12,0,0
warragul,12,0,0,12,0,0
budget,12,1,2,6,0,3
victorharbor,12,0,0,0,0,12
locals4locals,12,0,0,0,0,12
cleantransitions,12,0,0,12,0,0
fossilfools,12,12,0,0,0,0
stoptheteal,12,12,0,0,0,0
art,11,0,0,4,0,7
notonourscreens,11,0,11,0,0,0
greens,11,0,3,0,0,8
teslapowerwall,11,0,0,11,0,0
strongeconomystrongerfuture,11,11,0,0,0,0
woollahraliberals,11,0,0,0,0,11
challengeinjustice,11,11,0,0,0,0
hardworking,11,0,0,0,11,0
brightondeservesbetter,11,0,0,0,11,0
endgreyhoundracing,11,0,0,0,0,11
voteyes,11,0,0,2,7,2
communitymatters,11,0,0,0,7,4
northernaustralia,11,0,0,11,0,0
vote1bradbery,11,0,0,0,11,0
school,11,0,5,1,2,3
youthvoice,11,0,0,11,0,0
listening,11,10,0,1,0,0
felicity4brighton,11,0,0,0,11,0
conservation,11,0,2,5,1,3
paradise,11,0,0,0,11,0
gp,11,0,10,0,0,1
aboriginalandtorresstraitislander,11,0,0,0,0,11
ruralvictoria,11,0,0,10,0,1
ipcc,11,10,0,1,0,0
youthleadership,11,0,0,11,0,0
woollahraliberalsworkingforyou,11,0,0,0,0,11
melbournelockdown,11,0,0,0,0,11
campbelltown,11,0,0,0,11,0
cop27,11,0,0,8,0,3
youthengagement,11,0,0,11,0,0
globalwarming,11,0,0,8,0,3
caringforcomenarra,11,0,0,0,8,3
backaustralianbusiness,11,0,0,0,0,11
hobartneedschange,11,0,0,0,7,4
nswparliament,11,0,11,0,0,0
archilove,11,0,0,11,0,0
saveosher,11,11,0,0,0,0
laborchangeyourpolicy,11,0,0,0,0,11
sustainabletimber,11,0,0,0,0,11
mixedspeciestimber,11,0,0,0,0,11
outoftouch,10,10,0,0,0,0
hereforyou,10,3,0,0,1,6
gettingthingsdone,10,0,0,8,0,2
supportlocalbusiness,10,4,0,3,1,2
wodonga,10,0,1,9,0,0
freedomofchoice,10,0,0,0,0,10
coalition,10,9,1,0,0,0
charity,10,0,0,6,0,4
danandrewsmustgo,10,0,0,0,0,10
heritage,10,0,0,5,2,3
youthvoices,10,0,0,10,0,0
firstnations,10,0,2,4,0,4
backto100mill,10,0,0,0,0,10
endmulesing,10,0,10,0,0,0
pumicestone,10,0,0,0,0,10
transport,10,0,0,4,3,3
train,10,0,0,0,8,2
freeaustralia,10,0,0,0,0,10
support,10,0,0,3,3,4
transparency,10,0,0,1,6,3
albanese,10,1,0,5,0,4
lisaforthenationals,10,4,0,0,6,0
queenslanders,10,0,0,10,0,0
jewishclimatenetwork,10,0,0,0,0,10
chaney4curtin,10,10,0,0,0,0
movingmountains,10,0,10,0,0,0
tnl,10,0,0,0,0,10
freevictoria,10,0,0,0,2,8
transportworkersunion,10,0,0,1,9,0
drouin,10,0,0,10,0,0
democrats,10,0,0,10,0,0
buildingbetterhomes,10,10,0,0,0,0
votehearn,10,0,0,0,10,0
mentalhealthawareness,10,0,0,10,0,0
helpfightfamine,10,0,0,10,0,0
generalpractice,10,0,10,0,0,0
councellor,10,0,10,0,0,0
midwife,10,0,10,0,0,0
psychologist,10,0,10,0,0,0
womenweknow,10,10,0,0,0,0
abortioncare,10,0,10,0,0,0
